Number	 Name	 Lat	 Lon	 Alt	 AngleAlt	 AngleHor	 headAnt	 maxRange	 deltaT
0	ВТЦ	24.499049	54.403290	381	70	360	0	30	20
1	Landmark	24.484955	54.350760	324	70	360	0	30	20
2	Eihad	24.459322	54.321297	305	70	360	0	30	20
3	Rx_7	24.396521	54.301221	0	70	360	0	370	40
4	Rx_8	24.274723	54.462938	0	70	360	0	370	40
5	Rx_10	24.379894	54.344633	0	70	360	0	370	40
6	Rx_11	24.363604	54.467502	0	70	360	0	370	40
7	Rx_12	24.586804	54.475842	0	70	360	0	370	40
8	Rx_13	24.559941	54.451669	0	70	360	0	370	40
9	Rx_14	24.537927	54.409755	0	70	360	0	370	40
10	Rx_15	24.626249	54.532602	0	70	360	0	370	40
11	Rx_16	24.568579	54.548619	0	70	360	0	370	40
12	Rx_17	24.551681	54.649203	0	70	360	0	370	40
13	Rx_18	24.494560	54.521711	0	70	360	0	370	40
14	Rx_19	24.489896	54.604357	0	70	360	0	370	40
15	Rx_20	24.419330	54.587699	0	70	360	0	370	40
16	Rx_21	24.432163	54.431378	0	70	360	0	370	40
17	Rx_22	24.473570	54.460848	0	70	360	0	370	40
18	Rx_24	24.330045	54.604997	0	70	360	0	370	40
19	Rx_25	24.394243	54.657532	0	70	360	0	370	40
20	Rx_26	24.449660	54.653047	0	70	360	0	370	40
21	Rx_27	24.431580	54.740177	0	70	360	0	370	40
22	Rx_29	24.285237	54.561455	0	70	360	0	370	40
23	Rx_30	24.512287	54.476004	0	70	360	0	370	40
24	Rx_31	24.437259	54.514205	0	70	360	0	370	40
